식당(ID),식당명,지점명,지역명,네이버평점
22812,착한쭝식,산곡점,부평구,4.24
22813,누루계,,계양구,4.43
22814,신가네숯불갈비,,미추홀구,4.47
22815,동해해물탕물텀벙,,미추홀구,4.38
22817,원주추옥,,남동구,4.32
22818,참이맛감자탕,인천직영점,미추홀구,4.21
22819,어도,,동구,4.37
22820,이현이이가네동태탕,2호점,미추홀구,4.38
22821,육정담고기플러스,,부평구,4.45
22822,쉐프의부엌,,강화군,
22823,중앙갈비,,중구,4.2
22824,제주솥뚜껑삼겹살,,중구,4.52
22825,선미정,,중구,4.33
22826,돈비어천가,,중구,4.62
22827,가조,,중구,4.36
22828,경동만두,,중구,
22829,금촌집,,중구,4.5
22830,명품플러스,,중구,
22831,작은행복,,옹진군,
22832,은혜반점,,동구,4.23
22833,만미숯불갈비,,동구,4.5
22834,현대물텀벙,,동구,4.36
22836,숭의쌈밥,,미추홀구,4.37
22837,육교추어탕,,남동구,4.34
22838,인하찹쌀순대,,미추홀구,4.4
22840,루외루,,미추홀구,3.97
22841,고목정,,미추홀구,4.32
22842,우진삼계탕부대찌개,,남동구,4.08
22843,원주추어탕,본점,미추홀구,4.28
22844,용인정,,미추홀구,4.46
22845,백령면옥,,미추홀구,4.39
22846,가마솥손두부,,미추홀구,4.19
22847,취화선,,남동구,4.49
22848,함흥관,,미추홀구,4.14
22849,명가낙지촌,,남동구,4.37
22850,이대조뼈다귀,본점,남동구,4.37
22851,약선당감자탕,,미추홀구,4.34
22852,굴세상,,미추홀구,4.37
22853,정가붕어찜,인천본점,남동구,4.45
22854,항아리칼국수보쌈,구월점,남동구,4.4
22855,완도바다,,남동구,4.86
22856,이차돌,구월점,남동구,4.3
22857,착한막회,,미추홀구,4.43
22858,만선해변,,미추홀구,4.27
22859,신대청마루,,동구,4.5
22860,숭의골돌솥추어탕,,미추홀구,4.43
22861,삼화정1호점,,남동구,
22862,삼락유황오리,,계양구,4.45
22863,국화호수,,강화군,5
22865,화진원 한정식,,미추홀구,5
22866,강변해물탕,,연수구,
22867,명태촌,인천직영점,동구,4.41
22868,일산칼국수,,계양구,4.36
22869,인천그랜드CC클럽하우스,,서구,4.18
22870,훈장골,영종도점,중구,4.27
22871,드림팰리스,,미추홀구,
22872,비비랑,,강화군,4.75
22873,왕소,부평점,부평구,
22874,미사리 밀빛 초계국수 닭칼국수,인천공항점,중구,4.5
22875,베테랑종합어시장,만수점,남동구,4.39
22877,전주콩나물국밥,,동구,4.48
22878,민물나라,,남동구,4.38
22879,자미궁 제빵소,,서구,4.28
22881,영진정정육식당,,남동구,4.69
22882,누룩골,삼산점,부평구,4.51
22897,소담한정식,,계양구,4.2
22898,충남서산꽃게집,,연수구,4.35
22900,충남서산집꽃게탕집,,연수구,4.38
22901,삼원일식,,미추홀구,4.31
22902,소금빛풍천장어구이,,부평구,4.27
22903,명가원설농탕,인천 구월동점,남동구,4.3
22904,신선화로,숭의점,미추홀구,4.27
22905,권오길손국수,본점,서구,4.43
22906,보릿골,본점,계양구,4.55
22908,계산복집,,계양구,4.67
22909,예전,,중구,4.31
22910,밥도둑꽃게전문,,부평구,4.4
22911,바오,,남동구,4.33
22912,박가네순대국,,미추홀구,3.93
22913,서해낙원,,미추홀구,4.85
22914,고향밥상(별관),,부평구,
22915,무쏘,인천송림점,동구,
22916,남원추어탕,,미추홀구,4.43
22917,편가네된장,,강화군,4.22
22918,외포리꽃게집,,강화군,4.29
22919,돌캐,,강화군,4.32
22920,궁정한우한돈왕갈비,,미추홀구,4.35
22921,대박집,인천본점,미추홀구,4.34
22922,서가네메밀촌,삼산점,부평구,4.45
22923,명품삼계탕,,부평구,4.32
