"행정구역","2026년04월_거주자_총인구수","2026년04월_거주자_연령구간인구수","2026년04월_거주자_0~9세","2026년04월_거주자_10~19세","2026년04월_거주자_20~29세","2026년04월_거주자_30~39세","2026년04월_거주자_40~49세","2026년04월_거주자_50~59세","2026년04월_거주자_60~69세","2026년04월_거주자_70~79세","2026년04월_거주자_80~89세","2026년04월_거주자_90~99세","2026년04월_거주자_100세 이상","2026년04월_남_거주자_총인구수","2026년04월_남_거주자_연령구간인구수","2026년04월_남_거주자_0~9세","2026년04월_남_거주자_10~19세","2026년04월_남_거주자_20~29세","2026년04월_남_거주자_30~39세","2026년04월_남_거주자_40~49세","2026년04월_남_거주자_50~59세","2026년04월_남_거주자_60~69세","2026년04월_남_거주자_70~79세","2026년04월_남_거주자_80~89세","2026년04월_남_거주자_90~99세","2026년04월_남_거주자_100세 이상","2026년04월_여_거주자_총인구수","2026년04월_여_거주자_연령구간인구수","2026년04월_여_거주자_0~9세","2026년04월_여_거주자_10~19세","2026년04월_여_거주자_20~29세","2026년04월_여_거주자_30~39세","2026년04월_여_거주자_40~49세","2026년04월_여_거주자_50~59세","2026년04월_여_거주자_60~69세","2026년04월_여_거주자_70~79세","2026년04월_여_거주자_80~89세","2026년04월_여_거주자_90~99세","2026년04월_여_거주자_100세 이상"
"경기도 구리시 (4131000000)","185,986","185,986","10,010","16,133","21,030","25,739","27,698","32,996","30,076","14,925","6,410","949","20","91,991","91,991","5,146","8,305","10,586","13,362","13,959","16,025","14,867","6,929","2,543","261","8","93,995","93,995","4,864","7,828","10,444","12,377","13,739","16,971","15,209","7,996","3,867","688","12"
"경기도 남양주시 (4136000000)","725,040","725,040","45,143","78,419","75,178","83,846","117,731","129,602","104,437","59,575","26,677","4,313","119","358,022","358,022","23,134","40,152","38,725","42,316","57,911","65,083","51,677","27,374","10,500","1,127","23","367,018","367,018","22,009","38,267","36,453","41,530","59,820","64,519","52,760","32,201","16,177","3,186","96"
"경기도 오산시 (4137000000)","250,327","250,327","17,736","27,210","28,524","40,228","46,298","41,372","28,678","13,496","5,858","901","26","130,465","130,465","9,125","13,929","15,513","22,387","24,947","21,562","14,379","6,228","2,169","223","3","119,862","119,862","8,611","13,281","13,011","17,841","21,351","19,810","14,299","7,268","3,689","678","23"
"경기도 시흥시 (4139000000)","512,511","512,511","37,291","52,042","56,733","73,513","87,886","91,789","71,054","28,086","11,866","2,194","57","266,568","266,568","19,022","26,615","30,738","39,572","47,000","47,740","37,694","13,508","4,219","448","12","245,943","245,943","18,269","25,427","25,995","33,941","40,886","44,049","33,360","14,578","7,647","1,746","45"
"경기도 군포시 (4141000000)","248,987","248,987","11,952","21,985","29,163","33,954","34,736","44,577","41,534","19,900","9,184","1,964","38","123,198","123,198","6,099","11,383","15,259","18,147","17,432","21,552","20,018","9,360","3,422","517","9","125,789","125,789","5,853","10,602","13,904","15,807","17,304","23,025","21,516","10,540","5,762","1,447","29"
"경기도 의왕시 (4143000000)","162,301","162,301","11,450","13,406","17,354","24,916","22,365","26,782","26,724","12,903","5,296","1,070","35","80,116","80,116","5,896","6,839","8,976","12,735","11,457","12,687","12,882","6,273","2,115","250","6","82,185","82,185","5,554","6,567","8,378","12,181","10,908","14,095","13,842","6,630","3,181","820","29"
"경기도 하남시 (4145000000)","326,468","326,468","25,791","33,804","32,612","48,617","59,176","49,672","42,387","24,558","8,405","1,404","42","161,871","161,871","13,374","16,960","16,134","24,027","29,880","25,303","20,500","11,844","3,521","323","5","164,597","164,597","12,417","16,844","16,478","24,590","29,296","24,369","21,887","12,714","4,884","1,081","37"
"경기도 용인시 (4146000000)","1,085,176","1,085,176","71,097","120,523","125,355","137,799","177,871","191,527","134,050","80,020","40,066","6,711","157","537,386","537,386","36,180","61,501","65,551","70,446","87,288","95,063","66,527","35,717","16,979","2,103","31","547,790","547,790","34,917","59,022","59,804","67,353","90,583","96,464","67,523","44,303","23,087","4,608","126"
"경기도 용인시 처인구 (4146100000)","284,074","284,074","17,613","26,487","31,988","37,634","44,029","49,521","42,870","22,338","9,719","1,835","40","145,329","145,329","8,954","13,640","17,500","20,309","23,051","25,387","21,683","10,618","3,712","468","7","138,745","138,745","8,659","12,847","14,488","17,325","20,978","24,134","21,187","11,720","6,007","1,367","33"
"경기도 용인시 기흥구 (4146300000)","432,257","432,257","26,357","48,422","52,473","52,325","69,375","79,672","52,192","31,852","16,694","2,820","75","212,629","212,629","13,487","24,741","27,423","26,831","33,552","39,025","25,570","13,981","7,076","927","16","219,628","219,628","12,870","23,681","25,050","25,494","35,823","40,647","26,622","17,871","9,618","1,893","59"
